pmid,publication_title,publication_types,publication_date,journal,evidence_status,category,matched_asset_id,matched_asset_name,owner_name,owner_ticker,owner_match_confidence,nct_id,match_method,match_confidence,source_url,interpretation
39734708,Severe refractory colitis after intraperitoneal infusion of CEA-directed CAR T cells in patients with colorectal cancer.,"[""Case Reports"", ""Journal Article"", ""Retracted Publication""]",2024,Therapeutic advances in medical oncology,publication_retraction,publication_retraction,clinicaltrials:NCT05396300,Intraperitoneal infusion of FAST CEA-targeted CAR-T / CEA CAR-T cells,"Weijia Fang, MD",,0.0,NCT05396300,nct_id,1.0,https://pubmed.ncbi.nlm.nih.gov/39734708/,Discovery candidate for human review. A retraction or expression of concern does not by itself establish sponsor misconduct or fraud.
39702045,Cardiac findings in a phase II double-blind randomized placebo-controlled trial of combination therapy (HAZDPac) to treat COVID-19 patients.,"[""Clinical Trial, Phase II"", ""Journal Article"", ""Randomized Controlled Trial"", ""Retracted Publication""]",2024 Dec 19,BMC cardiovascular disorders,publication_retraction,publication_retraction,clinicaltrials:NCT04482686,Ivermectin / Doxycycline Hcl / Zinc / Vitamin D3 / Vitamin C,ProgenaBiome,,0.0,NCT04482686,nct_id,1.0,https://pubmed.ncbi.nlm.nih.gov/39702045/,Discovery candidate for human review. A retraction or expression of concern does not by itself establish sponsor misconduct or fraud.
35835920,Laparoscopic ventral rectopexy plus sacral colpopexy: continuous locked suture for mesh fixation. A randomized clinical trial.,"[""Journal Article"", ""Randomized Controlled Trial"", ""Retracted Publication""]",2022 Nov,Archives of gynecology and obstetrics,publication_retraction,publication_retraction,clinicaltrials:NCT05254860,LPS Ventral Rectopexy,Azienda Ospedaliera Cardinale G. Panico,,0.0,NCT05254860,nct_id,1.0,https://pubmed.ncbi.nlm.nih.gov/35835920/,Discovery candidate for human review. A retraction or expression of concern does not by itself establish sponsor misconduct or fraud.
37319244,"Gulf war illness inflammation reduction trial: A phase 2 randomized controlled trial of low-dose prednisone chronotherapy, effects on health-related quality of life.","[""Clinical Trial, Phase II"", ""Journal Article"", ""Randomized Controlled Trial"", ""Research Support, U.S. Gov't, Non-P.H.S."", ""Retracted Publication""]",2023,PloS one,publication_retraction,publication_retraction,clinicaltrials:NCT02506192,Modified-Release Prednisone / Placebo,Minneapolis Veterans Affairs Medical Center,,0.0,NCT02506192,nct_id,1.0,https://pubmed.ncbi.nlm.nih.gov/37319244/,Discovery candidate for human review. A retraction or expression of concern does not by itself establish sponsor misconduct or fraud.
37046094,Antibodies against endogenous retroviruses promote lung cancer immunotherapy.,"[""Journal Article"", ""Research Support, Non-U.S. Gov't"", ""Retracted Publication""]",2023 Apr,Nature,publication_retraction,publication_retraction,clinicaltrials:NCT01888601,NCT01888601,"University College, London",,0.0,NCT01888601,nct_id,1.0,https://pubmed.ncbi.nlm.nih.gov/37046094/,Discovery candidate for human review. A retraction or expression of concern does not by itself establish sponsor misconduct or fraud.
37704977,Uterocervical angle versus cervical length in the prediction of spontaneous preterm birth in women with history of spontaneous preterm birth: a prospective observational study.,"[""Journal Article"", ""Observational Study"", ""Retracted Publication""]",2023 Sep 13,BMC pregnancy and childbirth,publication_retraction,publication_retraction,clinicaltrials:NCT05632003,NCT05632003,Ain Shams Maternity Hospital,,0.0,NCT05632003,nct_id,1.0,https://pubmed.ncbi.nlm.nih.gov/37704977/,Discovery candidate for human review. A retraction or expression of concern does not by itself establish sponsor misconduct or fraud.
40192608,"Longitudinal Data From the KETO-CTA Study: Plaque Predicts Plaque, ApoB Does Not.","[""Journal Article"", ""Retracted Publication""]",2025 Jul,JACC. Advances,publication_retraction,publication_retraction,clinicaltrials:NCT05733325,NCT05733325,Lundquist Institute for Biomedical Innovation at Harbor-UCLA Medical Center,,0.0,NCT05733325,nct_id,1.0,https://pubmed.ncbi.nlm.nih.gov/40192608/,Discovery candidate for human review. A retraction or expression of concern does not by itself establish sponsor misconduct or fraud.
37903465,"Effects of Low Luteinizing Hormone Serum Levels on Oocyte Retrieval, Fertilization Rate, and Embryo Quality during Controlled Ovarian Stimulation: Results from a Prospective Cohort Analysis.","[""Journal Article"", ""Retracted Publication""]",2024,Gynecologic and obstetric investigation,publication_retraction,publication_retraction,clinicaltrials:NCT05755529,NCT05755529,University of Palermo,,0.0,NCT05755529,nct_id,1.0,https://pubmed.ncbi.nlm.nih.gov/37903465/,Discovery candidate for human review. A retraction or expression of concern does not by itself establish sponsor misconduct or fraud.
40884828,"Interplay between Tetanus, Diphtheria, Acellular Pertussis Vaccination in Pregnancy and Infant Pneumococcal Vaccination in Shaping Infant Pneumococcal Vaccine Serotype Carriage.","[""Journal Article"", ""Retracted Publication""]",2026 Feb 18,The Journal of infectious diseases,publication_retraction,publication_retraction,clinicaltrials:NCT02888457,Nasopharyngeal sampling with a swab,Pierre Van Damme,,0.0,NCT02888457,nct_id,1.0,https://pubmed.ncbi.nlm.nih.gov/40884828/,Discovery candidate for human review. A retraction or expression of concern does not by itself establish sponsor misconduct or fraud.
38897097,"RETRACTED: The use of oral nomegestrol acetate/estradiol in rapid and random start preparation of endometrium before office hysteroscopic polypectomies: A multicenter, prospective, randomized controlled trial.","[""Journal Article"", ""Multicenter Study"", ""Randomized Controlled Trial"", ""Retracted Publication""]",2024 Aug,"European journal of obstetrics, gynecology, and reproductive biology",publication_retraction,publication_retraction,clinicaltrials:NCT06316219,Nomegestrol Acetate/Estradiol 2.5mg/1.5mg,University of Palermo,,0.0,NCT06316219,nct_id,1.0,https://pubmed.ncbi.nlm.nih.gov/38897097/,Discovery candidate for human review. A retraction or expression of concern does not by itself establish sponsor misconduct or fraud.
32842821,A new conservative surgical approach for placenta accreta spectrum in a low-resource setting.,"[""Journal Article"", ""Retracted Publication""]",2022 Aug,"The journal of maternal-fetal & neonatal medicine : the official journal of the European Association of Perinatal Medicine, the Federation of Asia and Oceania Perinatal Societies, the International Society of Perinatal Obstetricians",publication_retraction,publication_retraction,clinicaltrials:NCT04161521,Novel Technique of Placenta Accreta in Menoufia University Hospital,Menoufia Obstetrics and Gynecology Group,,0.0,NCT04161521,nct_id,1.0,https://pubmed.ncbi.nlm.nih.gov/32842821/,Discovery candidate for human review. A retraction or expression of concern does not by itself establish sponsor misconduct or fraud.
37543575,"The effects of intermittent bolus paravertebral block on analgesia and recovery in open hepatectomy: a randomized, double-blinded, controlled study.","[""Journal Article"", ""Randomized Controlled Trial"", ""Retracted Publication""]",2023 Aug 05,BMC surgery,publication_retraction,publication_retraction,clinicaltrials:NCT04304274,Paravertebral block-ropivacaine / Paravertebral block-saline / patient controlled analgesia with morphine,Cui Xulei,,0.0,NCT04304274,nct_id,1.0,https://pubmed.ncbi.nlm.nih.gov/37543575/,Discovery candidate for human review. A retraction or expression of concern does not by itself establish sponsor misconduct or fraud.
41629425,Time-of-day immunochemotherapy in non-small cell lung cancer: a randomized phase 3 trial.,"[""Clinical Trial, Phase III"", ""Journal Article"", ""Randomized Controlled Trial"", ""Retracted Publication""]",2026 Apr,Nature medicine,publication_retraction,publication_retraction,clinicaltrials:NCT05549037,"Pembrolizumab, Sintilimab",Hunan Province Tumor Hospital,,0.0,NCT05549037,nct_id,1.0,https://pubmed.ncbi.nlm.nih.gov/41629425/,Discovery candidate for human review. A retraction or expression of concern does not by itself establish sponsor misconduct or fraud.
36341700,"Pentoxifylline as an adjunctive in treatment of negative symptoms in chronic schizophrenia: A double-blind, randomized, placebo-controlled trial.","[""Journal Article"", ""Randomized Controlled Trial"", ""Retracted Publication""]",2023 Jan,CNS neuroscience & therapeutics,publication_retraction,publication_retraction,clinicaltrials:NCT04094207,Placebo oral tablet / Pentoxifylline,Sadat City University,,0.0,NCT04094207,nct_id,1.0,https://pubmed.ncbi.nlm.nih.gov/36341700/,Discovery candidate for human review. A retraction or expression of concern does not by itself establish sponsor misconduct or fraud.
40859651,Effects of different antihypertensive drug classes on central and ambulatory blood pressure in resistant hypertension: A randomized clinical trial.,"[""Comparative Study"", ""Journal Article"", ""Randomized Controlled Trial"", ""Retracted Publication""]",2026 Jan,British journal of clinical pharmacology,publication_retraction,publication_retraction,clinicaltrials:NCT02832973,"Spironolactone / Furosemide, / Amiloride / Ramipril / Bisoprolol",Sao Jose do Rio Preto Medical School,,0.0,NCT02832973,nct_id,1.0,https://pubmed.ncbi.nlm.nih.gov/40859651/,Discovery candidate for human review. A retraction or expression of concern does not by itself establish sponsor misconduct or fraud.
39601214,Direct and Gradual Electrical Testicular Shocks Stimulate Spermatogenesis and Activate Sperms in Infertile Men: A Randomized Controlled Trial.,"[""Journal Article"", ""Randomized Controlled Trial"", ""Retracted Publication""]",2024,American journal of men's health,publication_retraction,publication_retraction,clinicaltrials:NCT04173052,Testis' shocker,University of Baghdad,,0.0,NCT04173052,nct_id,1.0,https://pubmed.ncbi.nlm.nih.gov/39601214/,Discovery candidate for human review. A retraction or expression of concern does not by itself establish sponsor misconduct or fraud.
41224473,Prevention of acute myocardial infarction induced heart failure by intracoronary infusion of mesenchymal stem cells: phase 3 randomised clinical trial (PREVENT-TAHA8).,"[""Clinical Trial, Phase III"", ""Journal Article"", ""Multicenter Study"", ""Randomized Controlled Trial"", ""Retracted Publication""]",2025 Oct 29,BMJ (Clinical research ed.),publication_retraction,publication_retraction,clinicaltrials:NCT05043610,Umbilical Cord-Derived Wharton's Jelly Mesenchymal Stem Cells (WJ-MSCs) / Conventional Treatment,Shiraz University of Medical Sciences,,0.0,NCT05043610,nct_id,1.0,https://pubmed.ncbi.nlm.nih.gov/41224473/,Discovery candidate for human review. A retraction or expression of concern does not by itself establish sponsor misconduct or fraud.
37698604,The effect of uterine massage after vaginal delivery on the duration of placental delivery and amount of postpartum hemorrhage.,"[""Journal Article"", ""Randomized Controlled Trial"", ""Retracted Publication""]",2024 Jun,Archives of gynecology and obstetrics,publication_retraction,publication_retraction,clinicaltrials:NCT03858569,active management of third stage of labor,Kanuni Sultan Suleyman Training and Research Hospital,,0.0,NCT03858569,nct_id,1.0,https://pubmed.ncbi.nlm.nih.gov/37698604/,Discovery candidate for human review. A retraction or expression of concern does not by itself establish sponsor misconduct or fraud.
36123638,The hematological impact of umbilical cord milking versus delayed cord clamping in premature neonates: a randomized controlled trial.,"[""Journal Article"", ""Randomized Controlled Trial"", ""Retracted Publication""]",2022 Sep 19,BMC pregnancy and childbirth,publication_retraction,publication_retraction,clinicaltrials:NCT03147846,delayed cord clamping / cord milking,Zagazig University,,0.0,NCT03147846,nct_id,1.0,https://pubmed.ncbi.nlm.nih.gov/36123638/,Discovery candidate for human review. A retraction or expression of concern does not by itself establish sponsor misconduct or fraud.
39171906,"Conventional steroids vs. dual-release hydrocortisone on metabolic, cardiovascular, and bone outcomes in adrenal insufficiency: a 10-year study.","[""Journal Article"", ""Randomized Controlled Trial"", ""Retracted Publication""]",2024 Aug 30,European journal of endocrinology,publication_retraction,publication_retraction,clinicaltrials:NCT06260462,dual-release hydrocortisone / Conventional glucocortidois,University of Palermo,,0.0,NCT06260462,nct_id,1.0,https://pubmed.ncbi.nlm.nih.gov/39171906/,Discovery candidate for human review. A retraction or expression of concern does not by itself establish sponsor misconduct or fraud.
39043416,Intraosseous versus intravenous vascular access in upper extremity among adults with out-of-hospital cardiac arrest: cluster randomised clinical trial (VICTOR trial).,"[""Comparative Study"", ""Journal Article"", ""Randomized Controlled Trial"", ""Retracted Publication""]",2024 Jul 23,BMJ (Clinical research ed.),publication_retraction,publication_retraction,clinicaltrials:NCT04135547,intra-osseous access vs. intra-venous access,National Taiwan University Hospital,,0.0,NCT04135547,nct_id,1.0,https://pubmed.ncbi.nlm.nih.gov/39043416/,Discovery candidate for human review. A retraction or expression of concern does not by itself establish sponsor misconduct or fraud.
35788169,"Ivermectin role in COVID-19 treatment (IRICT): single-center, adaptive, randomized, double-blind, placebo-controlled, clinical trial.","[""Journal Article"", ""Randomized Controlled Trial"", ""Retracted Publication""]",2022 Oct,Expert review of anti-infective therapy,publication_retraction,publication_retraction,clinicaltrials:NCT04746365,ivermectin / hydroxychloroquine / Placebo,Elaraby Hospital,,0.0,NCT04746365,nct_id,1.0,https://pubmed.ncbi.nlm.nih.gov/35788169/,Discovery candidate for human review. A retraction or expression of concern does not by itself establish sponsor misconduct or fraud.
38122893,Loss of mitochondrial adaptation associates with deterioration of mitochondrial turnover and structure in metabolic dysfunction-associated steatotic liver disease.,"[""Journal Article"", ""Retracted Publication""]",2024 Feb,Metabolism: clinical and experimental,publication_retraction,publication_retraction,clinicaltrials:NCT01477957,surgery,German Diabetes Center,,0.0,NCT01477957,nct_id,1.0,https://pubmed.ncbi.nlm.nih.gov/38122893/,Discovery candidate for human review. A retraction or expression of concern does not by itself establish sponsor misconduct or fraud.
