ticker,company_name,delivery_upside_score,execution_downside_score,leadership_risk_score,positive_marker_evidence_score,negative_marker_evidence_score,execution_balance_score,execution_outlook,evidence_coverage,evidence_coverage_score,approved_asset_count,late_stage_asset_count,active_company_marker_ids,current_feature_tags,closest_marker_id,closest_marker_company,closest_marker_polarity,marker_similarity,marker_outcome_class,marker_outcome_date,interpretation
NVO,Novo Nordisk A/S Common Stock,92.09,0.0,0.0,0.0,0.0,92.09,upside_proxy_risk_unscreened,market_only_risk_unscreened,57.52,16,34,[],"[""late_stage_delivery"", ""regulatory_approval"", ""strong_asset_portfolio""]",,,,0.0,,,"Delivery upside is an asset-progress proxy, not proof of management quality. Downside uses sourced company evidence. A missing risk signal means unscreened, not low risk. Historical outcomes are validation labels and are not score features."
REGN,Regeneron Pharmaceuticals Inc. Common Stock,81.35,0.0,0.0,0.0,0.0,81.35,upside_proxy_risk_unscreened,market_only_risk_unscreened,59.2,7,24,[],"[""late_stage_delivery"", ""regulatory_approval"", ""strong_asset_portfolio""]",,,,0.0,,,"Delivery upside is an asset-progress proxy, not proof of management quality. Downside uses sourced company evidence. A missing risk signal means unscreened, not low risk. Historical outcomes are validation labels and are not score features."
AZN,AstraZeneca PLC Ordinary Shares,81.16,0.0,0.0,0.0,0.0,81.16,upside_proxy_risk_unscreened,market_only_risk_unscreened,59.2,2,105,[],"[""late_stage_delivery"", ""regulatory_approval"", ""strong_asset_portfolio""]",,,,0.0,,,"Delivery upside is an asset-progress proxy, not proof of management quality. Downside uses sourced company evidence. A missing risk signal means unscreened, not low risk. Historical outcomes are validation labels and are not score features."
BIIB,Biogen Inc. Common Stock,78.99,0.0,0.0,0.0,0.0,78.99,upside_proxy_risk_unscreened,market_only_risk_unscreened,59.2,7,17,[],"[""late_stage_delivery"", ""regulatory_approval"", ""strong_asset_portfolio""]",,,,0.0,,,"Delivery upside is an asset-progress proxy, not proof of management quality. Downside uses sourced company evidence. A missing risk signal means unscreened, not low risk. Historical outcomes are validation labels and are not score features."
VRTX,Vertex Pharmaceuticals Incorporated Common Stock,76.69,0.0,0.0,0.0,0.0,76.69,upside_proxy_risk_unscreened,market_only_risk_unscreened,59.2,6,14,[],"[""late_stage_delivery"", ""regulatory_approval"", ""strong_asset_portfolio""]",,,,0.0,,,"Delivery upside is an asset-progress proxy, not proof of management quality. Downside uses sourced company evidence. A missing risk signal means unscreened, not low risk. Historical outcomes are validation labels and are not score features."
VNDA,Vanda Pharmaceuticals Inc. Common Stock,74.77,0.0,0.0,0.0,0.0,74.77,upside_proxy_risk_unscreened,market_only_risk_unscreened,59.2,5,12,[],"[""late_stage_delivery"", ""regulatory_approval"", ""strong_asset_portfolio""]",,,,0.0,,,"Delivery upside is an asset-progress proxy, not proof of management quality. Downside uses sourced company evidence. A missing risk signal means unscreened, not low risk. Historical outcomes are validation labels and are not score features."
INCY,Incyte Corp. Common Stock,72.83,0.0,0.0,0.0,0.0,72.83,upside_proxy_risk_unscreened,market_only_risk_unscreened,59.2,4,12,[],"[""late_stage_delivery"", ""regulatory_approval"", ""strong_asset_portfolio""]",,,,0.0,,,"Delivery upside is an asset-progress proxy, not proof of management quality. Downside uses sourced company evidence. A missing risk signal means unscreened, not low risk. Historical outcomes are validation labels and are not score features."
AMPH,Amphastar Pharmaceuticals Inc. Common Stock,71.74,0.0,0.0,0.0,0.0,71.74,upside_proxy_risk_unscreened,market_only_risk_unscreened,59.2,10,10,[],"[""late_stage_delivery"", ""regulatory_approval""]",,,,0.0,,,"Delivery upside is an asset-progress proxy, not proof of management quality. Downside uses sourced company evidence. A missing risk signal means unscreened, not low risk. Historical outcomes are validation labels and are not score features."
ALKS,Alkermes plc Ordinary Shares,70.45,0.0,0.0,0.0,0.0,70.45,upside_proxy_risk_unscreened,market_only_risk_unscreened,59.2,3,13,[],"[""late_stage_delivery"", ""regulatory_approval"", ""strong_asset_portfolio""]",,,,0.0,,,"Delivery upside is an asset-progress proxy, not proof of management quality. Downside uses sourced company evidence. A missing risk signal means unscreened, not low risk. Historical outcomes are validation labels and are not score features."
ALNY,Alnylam Pharmaceuticals Inc. Common Stock,68.24,0.0,0.0,0.0,0.0,68.24,upside_proxy_risk_unscreened,market_only_risk_unscreened,59.2,4,7,[],"[""late_stage_delivery"", ""regulatory_approval"", ""strong_asset_portfolio""]",,,,0.0,,,"Delivery upside is an asset-progress proxy, not proof of management quality. Downside uses sourced company evidence. A missing risk signal means unscreened, not low risk. Historical outcomes are validation labels and are not score features."
MIRM,Mirum Pharmaceuticals Inc. Common Stock,67.19,0.0,0.0,0.0,0.0,67.19,upside_proxy_risk_unscreened,market_only_risk_unscreened,59.2,3,9,[],"[""late_stage_delivery"", ""regulatory_approval"", ""strong_asset_portfolio""]",,,,0.0,,,"Delivery upside is an asset-progress proxy, not proof of management quality. Downside uses sourced company evidence. A missing risk signal means unscreened, not low risk. Historical outcomes are validation labels and are not score features."
RIGL,Rigel Pharmaceuticals Inc. Common Stock,66.56,0.0,0.0,0.0,0.0,66.56,upside_proxy_risk_unscreened,market_only_risk_unscreened,59.2,4,5,[],"[""late_stage_delivery"", ""regulatory_approval"", ""strong_asset_portfolio""]",,,,0.0,,,"Delivery upside is an asset-progress proxy, not proof of management quality. Downside uses sourced company evidence. A missing risk signal means unscreened, not low risk. Historical outcomes are validation labels and are not score features."
ETON,Eton Pharmaceuticals Inc. Common Stock,65.4,0.0,0.0,0.0,0.0,65.4,upside_proxy_risk_unscreened,market_only_risk_unscreened,59.2,6,6,[],"[""late_stage_delivery"", ""regulatory_approval""]",,,,0.0,,,"Delivery upside is an asset-progress proxy, not proof of management quality. Downside uses sourced company evidence. A missing risk signal means unscreened, not low risk. Historical outcomes are validation labels and are not score features."
SNY,Sanofi ADS,64.61,0.0,0.0,0.0,0.0,64.61,upside_proxy_risk_unscreened,market_only_risk_unscreened,59.2,0,49,[],"[""late_stage_delivery"", ""strong_asset_portfolio""]",,,,0.0,,,"Delivery upside is an asset-progress proxy, not proof of management quality. Downside uses sourced company evidence. A missing risk signal means unscreened, not low risk. Historical outcomes are validation labels and are not score features."
ARGX,argenx SE American Depositary Shares,64.22,0.0,0.0,0.0,0.0,64.22,upside_proxy_risk_unscreened,market_only_risk_unscreened,59.2,2,9,[],"[""late_stage_delivery"", ""regulatory_approval"", ""strong_asset_portfolio""]",,,,0.0,,,"Delivery upside is an asset-progress proxy, not proof of management quality. Downside uses sourced company evidence. A missing risk signal means unscreened, not low risk. Historical outcomes are validation labels and are not score features."
SUPN,Supernus Pharmaceuticals Inc. Common Stock,64.1,0.0,0.0,0.0,0.0,64.1,upside_proxy_risk_unscreened,market_only_risk_unscreened,59.2,4,5,[],"[""late_stage_delivery"", ""regulatory_approval"", ""strong_asset_portfolio""]",,,,0.0,,,"Delivery upside is an asset-progress proxy, not proof of management quality. Downside uses sourced company evidence. A missing risk signal means unscreened, not low risk. Historical outcomes are validation labels and are not score features."
AXSM,Axsome Therapeutics Inc. Common Stock,64.01,0.0,0.0,0.0,0.0,64.01,upside_proxy_risk_unscreened,market_only_risk_unscreened,59.2,2,8,[],"[""late_stage_delivery"", ""regulatory_approval"", ""strong_asset_portfolio""]",,,,0.0,,,"Delivery upside is an asset-progress proxy, not proof of management quality. Downside uses sourced company evidence. A missing risk signal means unscreened, not low risk. Historical outcomes are validation labels and are not score features."
BMRN,BioMarin Pharmaceutical Inc. Common Stock,63.37,0.0,0.0,0.0,0.0,63.37,upside_proxy_risk_unscreened,market_only_risk_unscreened,59.2,2,8,[],"[""late_stage_delivery"", ""regulatory_approval"", ""strong_asset_portfolio""]",,,,0.0,,,"Delivery upside is an asset-progress proxy, not proof of management quality. Downside uses sourced company evidence. A missing risk signal means unscreened, not low risk. Historical outcomes are validation labels and are not score features."
CPIX,Cumberland Pharmaceuticals Inc. Common Stock,62.54,0.0,0.0,0.0,0.0,62.54,upside_proxy_risk_unscreened,market_only_risk_unscreened,59.2,6,6,[],"[""late_stage_delivery"", ""regulatory_approval""]",,,,0.0,,,"Delivery upside is an asset-progress proxy, not proof of management quality. Downside uses sourced company evidence. A missing risk signal means unscreened, not low risk. Historical outcomes are validation labels and are not score features."
NBIX,Neurocrine Biosciences Inc. Common Stock,62.48,0.0,0.0,0.0,0.0,62.48,upside_proxy_risk_unscreened,market_only_risk_unscreened,59.2,2,6,[],"[""late_stage_delivery"", ""regulatory_approval"", ""strong_asset_portfolio""]",,,,0.0,,,"Delivery upside is an asset-progress proxy, not proof of management quality. Downside uses sourced company evidence. A missing risk signal means unscreened, not low risk. Historical outcomes are validation labels and are not score features."
IONS,Ionis Pharmaceuticals Inc. Common Stock,61.71,0.0,0.0,0.0,0.0,61.71,upside_proxy_risk_unscreened,market_only_risk_unscreened,59.2,2,7,[],"[""late_stage_delivery"", ""regulatory_approval"", ""strong_asset_portfolio""]",,,,0.0,,,"Delivery upside is an asset-progress proxy, not proof of management quality. Downside uses sourced company evidence. A missing risk signal means unscreened, not low risk. Historical outcomes are validation labels and are not score features."
ONC,BeOne Medicines Ltd. American Depositary Shares,61.36,0.0,0.0,0.0,0.0,61.36,upside_proxy_risk_unscreened,market_only_risk_unscreened,57.52,2,5,[],"[""late_stage_delivery"", ""regulatory_approval"", ""strong_asset_portfolio""]",,,,0.0,,,"Delivery upside is an asset-progress proxy, not proof of management quality. Downside uses sourced company evidence. A missing risk signal means unscreened, not low risk. Historical outcomes are validation labels and are not score features."
DERM,Journey Medical Corporation Common Stock,60.9,0.0,0.0,0.0,0.0,60.9,upside_proxy_risk_unscreened,market_only_risk_unscreened,59.2,4,4,[],"[""late_stage_delivery"", ""regulatory_approval""]",,,,0.0,,,"Delivery upside is an asset-progress proxy, not proof of management quality. Downside uses sourced company evidence. A missing risk signal means unscreened, not low risk. Historical outcomes are validation labels and are not score features."
ACAD,ACADIA Pharmaceuticals Inc. Common Stock,60.34,0.0,0.0,0.0,0.0,60.34,upside_proxy_risk_unscreened,market_only_risk_unscreened,59.2,2,4,[],"[""late_stage_delivery"", ""regulatory_approval"", ""strong_asset_portfolio""]",,,,0.0,,,"Delivery upside is an asset-progress proxy, not proof of management quality. Downside uses sourced company evidence. A missing risk signal means unscreened, not low risk. Historical outcomes are validation labels and are not score features."
CORT,Corcept Therapeutics Incorporated Common Stock,60.23,0.0,0.0,0.0,0.0,60.23,upside_proxy_risk_unscreened,market_only_risk_unscreened,59.2,2,5,[],"[""late_stage_delivery"", ""regulatory_approval"", ""strong_asset_portfolio""]",,,,0.0,,,"Delivery upside is an asset-progress proxy, not proof of management quality. Downside uses sourced company evidence. A missing risk signal means unscreened, not low risk. Historical outcomes are validation labels and are not score features."
MDGL,Madrigal Pharmaceuticals Inc. Common Stock,60.0,0.0,0.0,60.0,0.0,60.0,upside_proxy_risk_unscreened,market_only_risk_unscreened,50.8,1,2,"[""mdgl-2024-first-mash-approval""]","[""accelerated_approval"", ""first_in_class"", ""late_stage_delivery"", ""regulatory_approval"", ""strong_asset_portfolio""]",mdgl-2024-first-mash-approval,"Madrigal Pharmaceuticals, Inc.",upside,60.0,independent_commercial_execution_pending,,"Delivery upside is an asset-progress proxy, not proof of management quality. Downside uses sourced company evidence. A missing risk signal means unscreened, not low risk. Historical outcomes are validation labels and are not score features."
RARE,Ultragenyx Pharmaceutical Inc. Common Stock,60.0,0.0,0.0,0.0,0.0,60.0,upside_proxy_risk_unscreened,market_only_risk_unscreened,59.2,1,11,[],"[""late_stage_delivery"", ""regulatory_approval"", ""strong_asset_portfolio""]",,,,0.0,,,"Delivery upside is an asset-progress proxy, not proof of management quality. Downside uses sourced company evidence. A missing risk signal means unscreened, not low risk. Historical outcomes are validation labels and are not score features."
PTCT,PTC Therapeutics Inc. Common Stock,59.78,0.0,0.0,0.0,0.0,59.78,upside_proxy_risk_unscreened,market_only_risk_unscreened,59.2,2,5,[],"[""late_stage_delivery"", ""regulatory_approval"", ""strong_asset_portfolio""]",,,,0.0,,,"Delivery upside is an asset-progress proxy, not proof of management quality. Downside uses sourced company evidence. A missing risk signal means unscreened, not low risk. Historical outcomes are validation labels and are not score features."
INSM,Insmed Incorporated Common Stock,59.02,0.0,0.0,0.0,0.0,59.02,upside_proxy_risk_unscreened,market_only_risk_unscreened,59.2,2,4,[],"[""late_stage_delivery"", ""regulatory_approval"", ""strong_asset_portfolio""]",,,,0.0,,,"Delivery upside is an asset-progress proxy, not proof of management quality. Downside uses sourced company evidence. A missing risk signal means unscreened, not low risk. Historical outcomes are validation labels and are not score features."
HRTX,Heron Therapeutics Inc. Common Stock,58.79,0.0,0.0,0.0,0.0,58.79,upside_proxy_risk_unscreened,market_only_risk_unscreened,59.2,3,3,[],"[""late_stage_delivery"", ""regulatory_approval"", ""strong_asset_portfolio""]",,,,0.0,,,"Delivery upside is an asset-progress proxy, not proof of management quality. Downside uses sourced company evidence. A missing risk signal means unscreened, not low risk. Historical outcomes are validation labels and are not score features."
PHAT,Phathom Pharmaceuticals Inc. Common Stock,57.94,0.0,0.0,0.0,0.0,57.94,upside_proxy_risk_unscreened,market_only_risk_unscreened,59.2,3,3,[],"[""late_stage_delivery"", ""regulatory_approval""]",,,,0.0,,,"Delivery upside is an asset-progress proxy, not proof of management quality. Downside uses sourced company evidence. A missing risk signal means unscreened, not low risk. Historical outcomes are validation labels and are not score features."
KPTI,Karyopharm Therapeutics Inc. Common Stock,57.85,0.0,0.0,0.0,0.0,57.85,upside_proxy_risk_unscreened,market_only_risk_unscreened,59.2,1,7,[],"[""late_stage_delivery"", ""regulatory_approval"", ""strong_asset_portfolio""]",,,,0.0,,,"Delivery upside is an asset-progress proxy, not proof of management quality. Downside uses sourced company evidence. A missing risk signal means unscreened, not low risk. Historical outcomes are validation labels and are not score features."
ARDX,Ardelyx Inc. Common Stock,57.64,0.0,0.0,0.0,0.0,57.64,upside_proxy_risk_unscreened,market_only_risk_unscreened,59.2,1,6,[],"[""late_stage_delivery"", ""regulatory_approval"", ""strong_asset_portfolio""]",,,,0.0,,,"Delivery upside is an asset-progress proxy, not proof of management quality. Downside uses sourced company evidence. A missing risk signal means unscreened, not low risk. Historical outcomes are validation labels and are not score features."
UTHR,United Therapeutics Corporation Common Stock,57.6,0.0,0.0,0.0,0.0,57.6,upside_proxy_risk_unscreened,market_only_risk_unscreened,59.2,2,4,[],"[""late_stage_delivery"", ""regulatory_approval"", ""strong_asset_portfolio""]",,,,0.0,,,"Delivery upside is an asset-progress proxy, not proof of management quality. Downside uses sourced company evidence. A missing risk signal means unscreened, not low risk. Historical outcomes are validation labels and are not score features."
BCRX,BioCryst Pharmaceuticals Inc. Common Stock,56.69,0.0,0.0,0.0,0.0,56.69,upside_proxy_risk_unscreened,market_only_risk_unscreened,59.2,2,3,[],"[""late_stage_delivery"", ""regulatory_approval"", ""strong_asset_portfolio""]",,,,0.0,,,"Delivery upside is an asset-progress proxy, not proof of management quality. Downside uses sourced company evidence. A missing risk signal means unscreened, not low risk. Historical outcomes are validation labels and are not score features."
ARWR,Arrowhead Pharmaceuticals Inc. Common Stock,56.35,0.0,0.0,0.0,0.0,56.35,upside_proxy_risk_unscreened,market_only_risk_unscreened,59.2,1,5,[],"[""late_stage_delivery"", ""regulatory_approval"", ""strong_asset_portfolio""]",,,,0.0,,,"Delivery upside is an asset-progress proxy, not proof of management quality. Downside uses sourced company evidence. A missing risk signal means unscreened, not low risk. Historical outcomes are validation labels and are not score features."
VRCA,Verrica Pharmaceuticals Inc. Common Stock,55.77,0.0,0.0,0.0,0.0,55.77,upside_proxy_risk_unscreened,market_only_risk_unscreened,59.2,1,5,[],"[""late_stage_delivery"", ""regulatory_approval"", ""strong_asset_portfolio""]",,,,0.0,,,"Delivery upside is an asset-progress proxy, not proof of management quality. Downside uses sourced company evidence. A missing risk signal means unscreened, not low risk. Historical outcomes are validation labels and are not score features."
CYTK,Cytokinetics Incorporated Common Stock,55.36,0.0,0.0,0.0,0.0,55.36,upside_proxy_risk_unscreened,market_only_risk_unscreened,59.2,1,4,[],"[""late_stage_delivery"", ""regulatory_approval"", ""strong_asset_portfolio""]",,,,0.0,,,"Delivery upside is an asset-progress proxy, not proof of management quality. Downside uses sourced company evidence. A missing risk signal means unscreened, not low risk. Historical outcomes are validation labels and are not score features."
ASND,Ascendis Pharma A/S Ordinary Share,55.28,0.0,0.0,0.0,0.0,55.28,upside_proxy_risk_unscreened,market_only_risk_unscreened,58.36,1,7,[],"[""late_stage_delivery"", ""regulatory_approval""]",,,,0.0,,,"Delivery upside is an asset-progress proxy, not proof of management quality. Downside uses sourced company evidence. A missing risk signal means unscreened, not low risk. Historical outcomes are validation labels and are not score features."
OCUL,Ocular Therapeutix Inc. Common Stock,54.71,0.0,0.0,0.0,0.0,54.71,upside_proxy_risk_unscreened,market_only_risk_unscreened,59.2,1,5,[],"[""late_stage_delivery"", ""regulatory_approval"", ""strong_asset_portfolio""]",,,,0.0,,,"Delivery upside is an asset-progress proxy, not proof of management quality. Downside uses sourced company evidence. A missing risk signal means unscreened, not low risk. Historical outcomes are validation labels and are not score features."
JAZZ,Jazz Pharmaceuticals plc Common Stock (Ireland),54.22,0.0,0.0,0.0,0.0,54.22,upside_proxy_risk_unscreened,market_only_risk_unscreened,49.12,2,2,[],"[""late_stage_delivery"", ""regulatory_approval"", ""strong_asset_portfolio""]",,,,0.0,,,"Delivery upside is an asset-progress proxy, not proof of management quality. Downside uses sourced company evidence. A missing risk signal means unscreened, not low risk. Historical outcomes are validation labels and are not score features."
BNTX,BioNTech SE American Depositary Share,54.16,0.0,0.0,0.0,0.0,54.16,upside_proxy_risk_unscreened,market_only_risk_unscreened,59.2,0,14,[],"[""late_stage_delivery"", ""strong_asset_portfolio""]",,,,0.0,,,"Delivery upside is an asset-progress proxy, not proof of management quality. Downside uses sourced company evidence. A missing risk signal means unscreened, not low risk. Historical outcomes are validation labels and are not score features."
HRMY,Harmony Biosciences Holdings Inc. Common Stock,53.74,0.0,0.0,0.0,0.0,53.74,upside_proxy_risk_unscreened,market_only_risk_unscreened,56.68,1,5,[],"[""late_stage_delivery"", ""regulatory_approval"", ""strong_asset_portfolio""]",,,,0.0,,,"Delivery upside is an asset-progress proxy, not proof of management quality. Downside uses sourced company evidence. A missing risk signal means unscreened, not low risk. Historical outcomes are validation labels and are not score features."
CRNX,Crinetics Pharmaceuticals Inc. Common Stock,53.57,0.0,0.0,0.0,0.0,53.57,upside_proxy_risk_unscreened,market_only_risk_unscreened,59.2,1,3,[],"[""late_stage_delivery"", ""regulatory_approval"", ""strong_asset_portfolio""]",,,,0.0,,,"Delivery upside is an asset-progress proxy, not proof of management quality. Downside uses sourced company evidence. A missing risk signal means unscreened, not low risk. Historical outcomes are validation labels and are not score features."
IMCR,Immunocore Holdings plc American Depositary Shares,53.36,0.0,0.0,0.0,0.0,53.36,upside_proxy_risk_unscreened,market_only_risk_unscreened,59.2,1,4,[],"[""late_stage_delivery"", ""regulatory_approval"", ""strong_asset_portfolio""]",,,,0.0,,,"Delivery upside is an asset-progress proxy, not proof of management quality. Downside uses sourced company evidence. A missing risk signal means unscreened, not low risk. Historical outcomes are validation labels and are not score features."
COLL,Collegium Pharmaceutical Inc. Common Stock,53.28,0.0,0.0,0.0,0.0,53.28,upside_proxy_risk_unscreened,market_only_risk_unscreened,50.8,2,2,[],"[""late_stage_delivery"", ""regulatory_approval"", ""strong_asset_portfolio""]",,,,0.0,,,"Delivery upside is an asset-progress proxy, not proof of management quality. Downside uses sourced company evidence. A missing risk signal means unscreened, not low risk. Historical outcomes are validation labels and are not score features."
VSTM,Verastem Inc. Common Stock,52.98,0.0,0.0,0.0,0.0,52.98,upside_proxy_risk_unscreened,market_only_risk_unscreened,59.2,1,3,[],"[""late_stage_delivery"", ""regulatory_approval"", ""strong_asset_portfolio""]",,,,0.0,,,"Delivery upside is an asset-progress proxy, not proof of management quality. Downside uses sourced company evidence. A missing risk signal means unscreened, not low risk. Historical outcomes are validation labels and are not score features."
AKBA,Akebia Therapeutics Inc. Common Stock,52.54,0.0,0.0,0.0,0.0,52.54,upside_proxy_risk_unscreened,market_only_risk_unscreened,59.2,1,3,[],"[""late_stage_delivery"", ""regulatory_approval"", ""strong_asset_portfolio""]",,,,0.0,,,"Delivery upside is an asset-progress proxy, not proof of management quality. Downside uses sourced company evidence. A missing risk signal means unscreened, not low risk. Historical outcomes are validation labels and are not score features."
TVTX,Travere Therapeutics Inc. Common Stock,52.34,0.0,0.0,0.0,0.0,52.34,upside_proxy_risk_unscreened,market_only_risk_unscreened,59.2,1,3,[],"[""late_stage_delivery"", ""regulatory_approval"", ""strong_asset_portfolio""]",,,,0.0,,,"Delivery upside is an asset-progress proxy, not proof of management quality. Downside uses sourced company evidence. A missing risk signal means unscreened, not low risk. Historical outcomes are validation labels and are not score features."
NUVB,Nuvation Bio Inc. Class A Common Stock,52.14,0.0,0.0,0.0,0.0,52.14,upside_proxy_risk_unscreened,market_only_risk_unscreened,59.2,1,3,[],"[""late_stage_delivery"", ""regulatory_approval"", ""strong_asset_portfolio""]",,,,0.0,,,"Delivery upside is an asset-progress proxy, not proof of management quality. Downside uses sourced company evidence. A missing risk signal means unscreened, not low risk. Historical outcomes are validation labels and are not score features."
PRAX,Praxis Precision Medicines Inc. Common Stock,51.74,0.0,0.0,0.0,0.0,51.74,upside_proxy_risk_unscreened,market_only_risk_unscreened,59.2,0,11,[],"[""late_stage_delivery""]",,,,0.0,,,"Delivery upside is an asset-progress proxy, not proof of management quality. Downside uses sourced company evidence. A missing risk signal means unscreened, not low risk. Historical outcomes are validation labels and are not score features."
EXEL,Exelixis Inc. Common Stock,51.25,0.0,0.0,0.0,0.0,51.25,upside_proxy_risk_unscreened,market_only_risk_unscreened,59.2,1,3,[],"[""late_stage_delivery"", ""regulatory_approval""]",,,,0.0,,,"Delivery upside is an asset-progress proxy, not proof of management quality. Downside uses sourced company evidence. A missing risk signal means unscreened, not low risk. Historical outcomes are validation labels and are not score features."
URGN,UroGen Pharma Ltd. Ordinary Shares,51.01,0.0,0.0,0.0,0.0,51.01,upside_proxy_risk_unscreened,market_only_risk_unscreened,59.2,1,4,[],"[""late_stage_delivery"", ""regulatory_approval""]",,,,0.0,,,"Delivery upside is an asset-progress proxy, not proof of management quality. Downside uses sourced company evidence. A missing risk signal means unscreened, not low risk. Historical outcomes are validation labels and are not score features."
AGIO,Agios Pharmaceuticals Inc. Common Stock,50.86,0.0,0.0,0.0,0.0,50.86,upside_proxy_risk_unscreened,market_only_risk_unscreened,59.2,1,2,[],"[""late_stage_delivery"", ""regulatory_approval"", ""strong_asset_portfolio""]",,,,0.0,,,"Delivery upside is an asset-progress proxy, not proof of management quality. Downside uses sourced company evidence. A missing risk signal means unscreened, not low risk. Historical outcomes are validation labels and are not score features."
